a0,C0,C1,C2,C3,C4,p0,a1
http://dbpedia.org/resource/London_Victoria_station,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/agencyStationCode,VIC
http://dbpedia.org/resource/Framingham_Railroad_Station,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/agencyStationCode,FRA(Amtrak)
http://dbpedia.org/resource/London_King's_Cross_railway_station,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/agencyStationCode,KGX
http://dbpedia.org/resource/Fenchurch_Street_railway_station,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/agencyStationCode,FST
http://dbpedia.org/resource/Bayfront_Health_St._Petersburg,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Hospital,http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/bedCount,480
http://dbpedia.org/resource/Holland_Bloorview_Kids_Rehabilitation_Hospital,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Hospital,http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/bedCount,75
http://dbpedia.org/resource/East_Bardera_Mothers_and_Children's_Hospital,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Hospital,http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/bedCount,10
http://dbpedia.org/resource/Niagara_Health_System,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Hospital,http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/bedCount,800
http://dbpedia.org/resource/Providence_St._Peter_Hospital,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Hospital,http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/bedCount,390
http://dbpedia.org/resource/Women_&_Infants_Hospital_of_Rhode_Island,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Hospital,http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/bedCount,137
http://dbpedia.org/resource/London_Victoria_station,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/isHandicappedAccessible,1
http://dbpedia.org/resource/Framingham_Railroad_Station,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/isHandicappedAccessible,1
http://dbpedia.org/resource/Addison_station_(CTA_Red_Line),http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/isHandicappedAccessible,1
http://dbpedia.org/resource/London_King's_Cross_railway_station,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/isHandicappedAccessible,1
http://dbpedia.org/resource/Washington/Wabash_(CTA_station),http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/isHandicappedAccessible,1
http://dbpedia.org/resource/Wellington_(CTA_station),http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/isHandicappedAccessible,1
http://dbpedia.org/resource/Peru_LaSalle_Station,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/railwayPlatforms,1sideplatform
http://dbpedia.org/resource/London_Victoria_station,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/railwayPlatforms,4
http://dbpedia.org/resource/London_Victoria_station,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/railwayPlatforms,19
http://dbpedia.org/resource/Framingham_Railroad_Station,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/railwayPlatforms,2sideplatforms
http://dbpedia.org/resource/Addison_station_(CTA_Red_Line),http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/railwayPlatforms,1islandplatform
http://dbpedia.org/resource/Devonport_Kings_Road_railway_station,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/railwayPlatforms,2
http://dbpedia.org/resource/Aylesbury_High_Street_railway_station,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/railwayPlatforms,1
