a1,C0,C2,C1,p0,a0
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Daniel_Bernoulli
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Daniel_Gravius
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Jan_Willem_Janssens
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Jacques_l'Hermite
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Arnold_Houbraken
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Olfert_Dapper
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Sebastiaen_Jansen_Krol
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Gerbrand_Bredero
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Jacob_van_Ruisdael
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Jan_Swammerdam
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Rembrandt
