a0,C0,C3,C1,p0,C2,a1
http://dbpedia.org/resource/Achaea,http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,"261, 269x"
http://dbpedia.org/resource/Kilkis_(regional_unit),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,234x0
http://dbpedia.org/resource/Ardmore_Oklahoma,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,580
http://dbpedia.org/resource/Pieria_(regional_unit),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,235x0
http://dbpedia.org/resource/Berry_Islands,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,242
http://dbpedia.org/resource/Central_Savannah_River_Area,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,"478,706, 762,803,864,"
http://dbpedia.org/resource/Chania_(regional_unit),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,"282x0, 28310"
http://dbpedia.org/resource/Arcadia,http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,"2710, 275x0, 279x0"
http://dbpedia.org/resource/Evrytania,http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,22370
http://dbpedia.org/resource/Imathia,http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,233x0
http://dbpedia.org/resource/Euboea_(regional_unit),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,222x
http://dbpedia.org/resource/Karditsa_(regional_unit),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,244x0
http://dbpedia.org/resource/Thessaloniki_(regional_unit),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,"231, 2391-2397"
http://dbpedia.org/resource/Magnesia_(regional_unit),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,242x0
