prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#>
prefix owl: <http://www.w3.org/2002/07/owl#>
select * where {
?a0 rdf:type ?C0.
?C4 owl:disjointWith ?C5.
?p0 rdfs:range ?C1.
?C0 rdfs:subClassOf ?C2.
?C2 rdfs:subClassOf ?C3.
?C1 rdfs:subClassOf ?C5.
?C3 rdfs:subClassOf ?C4.
?a0 ?p0 ?a1.
}
a0,C0,C4,C5,p0,C1,C2,C3,a1
http://taxref.mnhn.fr/lod/johanmontagnat,http://schema.org/Person,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://xmlns.com/foaf/0.1/homepage,http://schema.org/CreativeWork,http://purl.org/goodrelations/v1#BusinessEntity,http://www.w3.org/ns/org#FormalOrganization,http://www.i3s.unice.fr/~johan/
http://purl.org/semsur/Maribel_Acosta,http://schema.org/Person,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/elements/1.1/creator,http://schema.org/Person,http://purl.org/goodrelations/v1#BusinessEntity,http://www.w3.org/ns/org#FormalOrganization,http://purl.org/semsur/Julio_Castillo
http://purl.org/semsur/Maribel_Acosta,http://schema.org/Person,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/elements/1.1/creator,http://www.w3.org/2000/10/swap/pim/contact#Person,http://purl.org/goodrelations/v1#BusinessEntity,http://www.w3.org/ns/org#FormalOrganization,http://purl.org/semsur/Julio_Castillo
b0,http://schema.org/Organization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://schema.org/url,http://schema.org/CreativeWork,http://purl.org/goodrelations/v1#BusinessEntity,http://www.w3.org/ns/org#FormalOrganization,https://www.w3.org/WoT/WG/
http://dbpedia.org/resource/Alstom,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,AOMD
http://purl.org/holy/ns#Ceres_Power_Holding,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,OTCMKTS:CPWHF
http://purl.org/holy/ns#Ceres_Power_Holding,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,Ceres
http://purl.org/holy/ns#Ceres_Power_Holding,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,Ceres Power Holding Inc.
http://purl.org/holy/ns#Ceres_Power_Holding,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,Ceres Power Holding plc
http://purl.org/holy/ns#Ceres_Power_Holding,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,LSE:CWR.L
