SELECT * WHERE {?C0 <http://www.w3.org/2002/07/owl#disjointWith> ?C2.
  ?C1 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C2. 
  ?a0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?C0.
  ?a0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?C1. 
  ?C0 <http://www.w3.org/2002/07/owl#equivalentClass> ?C3. }
C0,C2,C1,a0,C3
http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Artist,http://dbpedia.org/resource/Peter_DeRose,http://www.wikidata.org/entity/Q41176
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/MilitaryPerson,http://dbpedia.org/resource/Algerian_War,http://schema.org/Event
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/MilitaryPerson,http://dbpedia.org/resource/Algerian_War,http://www.wikidata.org/entity/Q1656682
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/MilitaryPerson,http://dbpedia.org/resource/Algerian_War,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/MilitaryPerson,http://dbpedia.org/resource/Austro-Prussian_War,http://schema.org/Event
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/MilitaryPerson,http://dbpedia.org/resource/Austro-Prussian_War,http://www.wikidata.org/entity/Q1656682
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/MilitaryPerson,http://dbpedia.org/resource/Austro-Prussian_War,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/MilitaryPerson,http://dbpedia.org/resource/Battle_of_Chunuk_Bair,http://www.wikidata.org/entity/Q1656682
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/MilitaryPerson,http://dbpedia.org/resource/Battle_of_Chunuk_Bair,http://schema.org/Event
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/MilitaryPerson,http://dbpedia.org/resource/Battle_of_Chunuk_Bair,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/MilitaryPerson,http://dbpedia.org/resource/Battle_of_Loos,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/MilitaryPerson,http://dbpedia.org/resource/Battle_of_Loos,http://www.wikidata.org/entity/Q1656682
