SELECT * WHERE {?a0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?C6.
  ?a0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?C8. 
  ?C1 <http://www.w3.org/2002/07/owl#disjointWith> ?C9. 
  ?C4 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C5.
  ?C7 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C0.
  ?C6 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C7. 
  ?C8 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C4. 
  ?C5 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C2. 
  ?C3 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C9.
  ?C2 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C3. 
  ?C0 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C1. }
a0,C6,C8,C1,C9,C4,C5,C7,C0,C2,C3
http://dbpedia.org/resource/Roman_Catholic_Archdiocese_of_Cotabato,http://dbpedia.org/ontology/ChristianBishop,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Roman_Catholic_Archdiocese_of_Bologna,http://dbpedia.org/ontology/School,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Roman_Catholic_Archdiocese_of_Burgos,http://dbpedia.org/ontology/ChristianBishop,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Apostolic_Vicariate_of_Northern_Arabia,http://dbpedia.org/ontology/School,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Ruthenian_Catholic_Apostolic_Exarchate_of_Czech_Republic,http://dbpedia.org/ontology/University,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Albanian_Catholic_Apostolic_Administration_of_Southern_Albania,http://dbpedia.org/ontology/School,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Diocese_of_Llandaff,http://dbpedia.org/ontology/School,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Diocese_of_Lund,http://dbpedia.org/ontology/School,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Roman_Catholic_Archdiocese_of_New_York,http://dbpedia.org/ontology/School,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Roman_Catholic_Archdiocese_of_Amalfi-Cava_de'_Tirreni,http://dbpedia.org/ontology/School,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
