a0, C2, C5, C6
http://yago-knowledge.org/resource/100_Ways_To_Write_A_Book_Q110962488,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/101_Tansania_Q79384785,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/1111_U002B__High_Da_And_Pa_Secret_Backlinks_List_By_Seo_Experts_Q107389439,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/125_Freelance_Business_Ideas_Q111036143,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/1943_Q107080930,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/28_000_Km_Pour_Une_Orchidée_Q105160445,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/50_U002B__Fandom_Programs_U003A__Planning_Festivals_And_Events_For_Tweens_U002C__Teens_U002C__And_Adults__U0028_Ala_Editions_U002C__2017_U0029__Q110973966,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/9_U002F_11_No_Shinjitsu_O_Motomete_U003A__2001_Nen_Beikoku_Dōji_Tahatsu_Tero_Q113129881,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_Beginner_U0027_S_Guide_To_Property_Investing_Q111496406,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_Brand_To_Die_For_Q112893858,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_Brief_History_Of_Cricket_Q114433062,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_Catalogue_Of_Cruck_Buildings_Q91020389,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_Companion_To_West_Indian_Literature_Q109717365,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_Concordance_Of_Pablo_Picasso_U2019_S_French_Writings_Q112797186,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_Concordance_Of_Pablo_Picasso_U2019_S_Spanish_Writings_Q112797169,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_Corpus_Of_Early_Anglo-Saxon_Great_Square-Headed_Brooches_Q95496366,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_Critical_History_Of_Media_Art_In_The_Netherlands_Q106209452,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_Dictionary_Of_British_Miniature_Painters_Q113691063,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_Dimensão_Estética_Do_Brinquedo_Q108805914,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_Farsa_Ianomâmi_Q116505215,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_Forged_Glamour_U003A__Landscape_U002C__Identity_And_Material_Culture_In_The_Iron_Age_Q96791853,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_Glimpes_Of_Santali_Grammar_Q108216156,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_Good_Girl_u0027_s_Guide_to_Murder,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_History_Of_Architecture_In_Italy_Q114038936,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_History_Of_The_Bubonic_Plague_In_The_British_Isles_Q88559186,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_History_Of_Vicarages_In_The_Middle_Ages_Q94999481,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_Kind_of_Spark,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_La_Découverte_Des_Autres_Guinéens_Q106203089,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
http://yago-knowledge.org/resource/A_Little_Book_Of_Infrared_Landscapes_Q110955342,http://schema.org/Book,http://schema.org/Event,http://schema.org/CreativeWork
